n,xi
10,0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 1/2 0/2 1/2 2/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 1/2 2/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/3 0/3 0/3 2/3 0/3 3/3 1/3 0/3 0/3 0/3 0/3 0/3 2/3 0/3 3/3 1/3 0/3 0/3 0/3 2/3 0/3 0/3 3/3 1/3 0/3 0/3 1/3 0/3 2/3 3/3 0/3 0/3 2/3 0/3 2/3 2/3 0/3 0/3 0/3 0/3 0/3 0/3 0/3 0/3 0/3
10,0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 2/2 0/2 0/2 1/2 1/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 2/2 0/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 2/2 1/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 2/2 0/2 0/2 1/2 0/2 1/2 0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 1/2 1/2 2/2 0/2 0/2 0/2 0/2 0/2 1/2 0/2 1/2 0/2 0/2 0/2 2/2 1/2 0/2 0/2 1/2 2/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/3 0/3 2/3 0/3 0/3 2/3 0/3 2/3 0/3 0/3 0/3 2/3 0/3 3/3 1/3 0/3 0/3 0/3 0/3 2/3 1/3 3/3 0/3 0/3 0/3 0/3 0/3 2/3 0/3 2/3 0/3 0/3 0/3 3/3 1/3 0/3 0/3 1/3 3/3 0/3 0/3 0/3 0/3 0/3 0/3
10,0/2 0/2 2/2 0/2 0/2 1/2 0/2 0/2 1/2 0/2 0/2 1/2 0/2 2/2 0/2 1/2 0/2 0/2 0/2 1/2 1/2 2/2 0/2 0/2 0/2 0/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2 2/2 0/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/3 0/3 1/3 0/3 0/3 2/3 0/3 0/3 3/3 0/3 0/3 2/3 0/3 3/3 0/3 1/3 0/3 0/3 0/3 3/3 1/3 2/3 0/3 0/3 0/3 0/3 0/3 2/3 3/3 0/3 0/3 0/3 2/3 0/3 2/3 0/3 0/3 2/3 1/3 0/3 0/3 0/3 0/3 0/3 0/3
10,0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 2/2 0/2 0/2 0/2 1/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 2/2 0/2 0/2 1/2 1/2 0/2 0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 1/2 0/2 0/2 0/2 2/2 1/2 0/2 0/2 1/2 2/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/3 0/3 2/3 0/3 0/3 1/3 3/3 0/3 0/3 0/3 0/3 2/3 0/3 3/3 1/3 0/3 0/3 0/3 0/3 2/3 0/3 2/3 2/3 0/3 0/3 0/3 2/3 0/3 0/3 2/3 0/3 0/3 0/3 3/3 1/3 0/3 0/3 1/3 3/3 0/3 0/3 0/3 0/3 0/3 0/3
10,0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 2/2 0/2 1/2 0/2 1/2 0/2 0/2 0/2 1/2 0/2 2/2 0/2 1/2 0/2 0/2 1/2 0/2 0/2 2/2 0/2 0/2 1/2 1/2 0/2 0/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
