n,gapII,family_gapII,iterations,runtime
11,1.1052631578947362812,1.3157894736842106199,0,253.73565100000001849ms
11,1.1052631578947362812,1.3157894736842106199,0,227.57876400000000672ms
11,1.0909090909090901623,1.2727272727272729292,0,254.78002100000000497ms
11,1.0980392156862741615,1.2941176470588240389,0,278.59941600000001927ms
11,1.1111111111111111605,1.3333333333333345916,0,252.3418280000000209ms
11,1.1052631578947365032,1.315789473684211286,0,238.62697700000001078ms
11,1.1052631578947365032,1.3157894736842110639,0,272.13858700000002955ms
11,1.124999999999999556,1.3333333333333337035,3,479.25558500000005325ms
11,1.124999999999999778,1.3333333333333341475,3,277.95716000000004442ms
11,1.1052631578947365032,1.3157894736842121742,0,277.58248500000001969ms
11,1.0909090909090901623,1.2727272727272729292,0,228.93665600000002769ms
11,1.079999999999999405,1.2400000000000015455,0,285.99281000000001996ms
11,1.0909090909090903843,1.2727272727272727071,0,284.24867300000005344ms
11,1.1052631578947365032,1.315789473684211286,0,261.01702000000000226ms
11,1.1111111111111107164,1.3333333333333337035,0,208.11555500000000052ms
11,1.1111111111111109385,1.3333333333333341475,0,259.99552400000004582ms
11,1.1111111111111109385,1.3333333333333337035,0,224.82367600000000607ms
11,1.1052631578947365032,1.315789473684211508,0,221.39445900000001189ms
11,1.1052631578947365032,1.315789473684211286,0,238.50405000000000655ms
11,1.0909090909090903843,1.2727272727272727071,0,253.05426400000001764ms
11,1.0909090909090906064,1.2727272727272733733,0,256.11024100000003046ms
11,1.1111111111111107164,1.3333333333333339255,0,199.90499300000001882ms
11,1.0909090909090903843,1.2727272727272727071,0,274.14074100000004819ms
11,1.1052631578947365032,1.3157894736842110639,0,224.25655300000002513ms
11,1.1052631578947362812,1.3157894736842108419,0,204.13833100000002219ms
11,1.1052631578947365032,1.3157894736842110639,0,281.98849200000000792ms
11,1.1111111111111107164,1.3333333333333343696,0,248.19964100000001395ms
11,1.0909090909090901623,1.2727272727272727071,0,331.80229000000002771ms
11,1.1052631578947362812,1.315789473684211286,0,260.11834700000002841ms
11,1.1111111111111107164,1.3333333333333337035,0,361.00009400000004689ms
11,1.1052631578947362812,1.3157894736842106199,0,258.01582100000001674ms
11,1.1111111111111107164,1.3333333333333339255,0,198.15851800000001504ms
11,1.1016949152542367952,1.3050847457627128279,0,287.08032300000002124ms
11,1.1111111111111109385,1.3333333333333341475,0,269.93310200000001942ms
11,1.1111111111111107164,1.3333333333333339255,0,274.33397100000001956ms
11,1.0909090909090903843,1.2727272727272733733,0,269.4224280000000249ms
11,1.0909090909090906064,1.2727272727272727071,0,259.70308600000004163ms
11,1.1111111111111107164,1.3333333333333334814,0,265.27999700000003714ms
11,1.1111111111111109385,1.3333333333333341475,0,224.9026850000000195ms
11,1.1111111111111111605,1.3333333333333343696,0,229.0479670000000283ms
11,1.1052631578947362812,1.315789473684211286,0,243.76045700000000239ms
11,1.1052631578947362812,1.3157894736842106199,0,278.22701900000004117ms
11,1.1111111111111109385,1.3333333333333334814,0,216.10961900000000924ms
11,1.1111111111111107164,1.3333333333333337035,0,273.7236840000000484ms
11,1.1052631578947362812,1.3157894736842103978,0,266.91940400000004275ms
11,1.1111111111111107164,1.3333333333333334814,0,228.32151100000001521ms
11,1.1111111111111107164,1.3333333333333337035,0,264.54550100000000157ms
11,1.0909090909090906064,1.2727272727272731512,0,295.28104500000000599ms
11,1.0909090909090908284,1.2727272727272735953,0,264.11001600000003009ms
11,1.0909090909090903843,1.2727272727272727071,0,288.25827000000003864ms
11,1.1052631578947365032,1.3157894736842110639,0,258.07056800000003705ms
11,1.1111111111111107164,1.3333333333333339255,0,237.73906800000000317ms
11,1.0909090909090906064,1.2727272727272731512,0,252.77227600000000507ms
11,1.1052631578947365032,1.3157894736842106199,0,267.43828900000005433ms
11,1.0909090909090903843,1.2727272727272715969,0,268.7782980000000066ms
11,1.1052631578947362812,1.3157894736842106199,0,246.83607300000002738ms
11,1.1052631578947362812,1.315789473684211286,0,208.3730730000000051ms
11,1.1052631578947365032,1.3157894736842110639,0,259.88775300000003199ms
11,1.1052631578947362812,1.3157894736842106199,0,319.32942900000000464ms
11,1.1052631578947362812,1.3157894736842101758,0,240.40260800000001496ms
11,1.0975609756097555181,1.2926829268292687747,0,274.02662900000001401ms
11,1.0909090909090903843,1.2727272727272724851,0,205.6749160000000245ms
11,1.1034482758620687282,1.3103448275862075168,0,280.19814600000000838ms
11,1.1052631578947365032,1.3157894736842106199,0,263.74079600000004576ms
11,1.0909090909090903843,1.2727272727272735953,0,264.31430600000004461ms
11,1.0909090909090901623,1.2727272727272727071,0,305.89566000000002078ms
11,1.0975609756097557402,1.2926829268292689968,0,322.52173900000002505ms
11,1.0909090909090903843,1.2727272727272733733,0,224.93829800000000319ms
11,1.1052631578947365032,1.3157894736842110639,0,224.09373100000001955ms
11,1.079999999999999627,1.2399999999999999912,0,296.31408500000003415ms
11,1.1052631578947365032,1.315789473684211286,0,292.65059500000000981ms
11,1.1111111111111098282,1.3333333333333325932,0,260.57177600000005669ms
11,1.1111111111111109385,1.3333333333333337035,0,265.69296400000001768ms
